scenario,replicate,semester,cumulative_k
Small lab,341,2,1.84
Small lab,341,3,2.815
Small lab,342,1,0.934
Small lab,342,2,1.845
Small lab,342,3,2.787
Small lab,343,1,0.966
Small lab,343,2,1.895
Small lab,343,3,2.81
Small lab,344,1,0.93
Small lab,344,2,1.915
Small lab,344,3,2.873
Small lab,345,1,0.896
Small lab,345,2,1.848
Small lab,345,3,2.806
Small lab,346,1,0.993
Small lab,346,2,1.94
Small lab,346,3,2.847
Small lab,347,1,0.941
Small lab,347,2,1.888
Small lab,347,3,2.861
Small lab,348,1,0.884
Small lab,348,2,1.833
Small lab,348,3,2.772
Small lab,349,1,0.914
Small lab,349,2,1.868
Small lab,349,3,2.802
Small lab,350,1,0.935
Small lab,350,2,1.86
Small lab,350,3,2.775
Small lab,351,1,0.962
Small lab,351,2,1.89
Small lab,351,3,2.777
Small lab,352,1,0.977
Small lab,352,2,1.978
Small lab,352,3,2.946
Small lab,353,1,0.928
Small lab,353,2,1.87
Small lab,353,3,2.807
Small lab,354,1,0.823
Small lab,354,2,1.703
Small lab,354,3,2.688
Small lab,355,1,0.935
Small lab,355,2,1.879
Small lab,355,3,2.862
Small lab,356,1,0.96
